ZipCode,2020-10-22,2020-10-23,2020-10-24,2020-10-25,2020-10-26,2020-10-27,2020-10-28,2020-10-29,2020-10-30,2020-10-31,2020-11-01,2020-11-02,2020-11-03,2020-11-04,2020-11-05,2020-11-06,2020-11-07,2020-11-08,2020-11-09,2020-11-10,2020-11-11,2020-11-12,2020-11-13,2020-11-16,2020-11-17,2020-11-18,2020-11-19,2020-11-20,2020-11-21,2020-11-22,2020-11-23
85138,,6.0,7.0,0.0,0.0,31.0,14.0,10.0,1.0,20.0,6.0,0.0,28.0,10.0,16.0,2.0,28.0,2.0,3.0,22.0,0.0,4.0,0.0,45.0,15.0,29.0,54.0,30.0,37.0,30.0,20.0
85139,,2.0,2.0,1.0,0.0,8.0,5.0,4.0,1.0,5.0,4.0,0.0,6.0,2.0,5.0,1.0,9.0,1.0,6.0,4.0,0.0,1.0,0.0,12.0,9.0,3.0,23.0,5.0,7.0,12.0,6.0
85140,,2.0,6.0,2.0,0.0,12.0,18.0,17.0,2.0,18.0,16.0,0.0,21.0,9.0,26.0,2.0,24.0,8.0,9.0,51.0,0.0,3.0,0.0,48.0,18.0,17.0,14.0,23.0,23.0,16.0,27.0
85141,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0
85142,,10.0,12.0,1.0,0.0,35.0,6.0,22.0,5.0,36.0,11.0,0.0,40.0,17.0,41.0,3.0,60.0,20.0,13.0,54.0,0.0,16.0,0.0,149.0,35.0,36.0,55.0,55.0,54.0,20.0,35.0
85143,,1.0,7.0,-1.0,0.0,20.0,4.0,14.0,0.0,11.0,3.0,0.0,12.0,1.0,11.0,2.0,20.0,5.0,3.0,36.0,0.0,1.0,0.0,46.0,13.0,16.0,15.0,27.0,24.0,13.0,13.0
85145,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,7.0,0.0,3.0,1.0,0.0,0.0,0.0,5.0
85147,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85147,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85172,,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
85173,,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,3.0,0.0,2.0,1.0
85190,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85191,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85192,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,2.0,1.0,0.0,2.0
85193,,1.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,10.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,4.0,1.0,2.0,3.0
85194,,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,2.0,1.0,0.0,3.0,1.0,2.0,-1.0,3.0,0.0,1.0,4.0,0.0,1.0,0.0,18.0,6.0,0.0,3.0,8.0,2.0,6.0,8.0
85201,,6.0,12.0,14.0,0.0,8.0,8.0,18.0,8.0,7.0,8.0,0.0,13.0,6.0,10.0,15.0,24.0,17.0,2.0,49.0,0.0,3.0,0.0,77.0,20.0,25.0,28.0,23.0,30.0,25.0,25.0
85202,,8.0,7.0,12.0,0.0,17.0,9.0,18.0,1.0,24.0,13.0,0.0,19.0,9.0,20.0,13.0,12.0,21.0,2.0,84.0,0.0,5.0,0.0,87.0,30.0,30.0,58.0,60.0,25.0,38.0,48.0
85203,,4.0,6.0,10.0,0.0,12.0,4.0,11.0,8.0,6.0,4.0,0.0,17.0,4.0,25.0,14.0,11.0,16.0,2.0,27.0,0.0,8.0,0.0,84.0,25.0,38.0,41.0,25.0,27.0,23.0,12.0
85204,,10.0,12.0,17.0,0.0,29.0,6.0,8.0,21.0,16.0,5.0,0.0,13.0,9.0,21.0,16.0,34.0,14.0,1.0,66.0,0.0,9.0,0.0,126.0,45.0,31.0,54.0,40.0,43.0,58.0,36.0
85205,,7.0,9.0,8.0,0.0,12.0,3.0,1.0,8.0,5.0,15.0,0.0,18.0,6.0,19.0,16.0,15.0,9.0,1.0,28.0,0.0,6.0,0.0,59.0,15.0,19.0,28.0,18.0,28.0,25.0,12.0
85206,,11.0,5.0,10.0,0.0,46.0,-4.0,9.0,25.0,4.0,10.0,0.0,5.0,15.0,18.0,9.0,23.0,8.0,2.0,32.0,0.0,5.0,0.0,96.0,41.0,20.0,42.0,34.0,29.0,35.0,20.0
